,ID,A1,A2,A3,A4,A5,Score,source,target,source_tag,target_tag
1,2900__council_10__hack_11,3,3,3,3,2,2.219299691,council,hack,"('council', 'NN')","('hack', 'NN')"
4,1366__culture_14__mother_11,3,3,3,2,1,2.17349304,culture,mother,"('culture', 'NN')","('mother', 'NN')"
6,1867__freedom_7__midwife_5,3,3,3,2,1,2.17349304,freedom,midwife,"('freedom', 'NN')","('midwife', 'NN')"
21,5846__night_14__magnifies_15,3,3,3,3,1,2.121363424,night,magnifies,"('night', 'NN')","('magnifies', 'NNS')"
29,2744__featureless_13__sheets_14,3,3,3,3,2,2.1107807519999997,featureless,sheets,"('featureless', 'NN')","('sheets', 'NNS')"
38,2752__moors_42__folds_39,3,3,3,3,1,2.1107807519999997,moors,folds,"('moors', 'NNS')","('folds', 'NNS')"
43,5228__sun_20__catch_18,3,3,3,3,2,2.1107807519999997,sun,catch,"('sun', 'NN')","('catch', 'NN')"
44,7053__wind_32__raise_30,3,3,3,3,2,2.1107807519999997,wind,raise,"('wind', 'NN')","('raise', 'NN')"
49,2770__hills_35__bubbles_31,3,3,3,3,3,2.1107807519999997,hills,bubbles,"('hills', 'NNS')","('bubbles', 'NNS')"
56,2728__hillside_60__shoulders_57,3,3,3,3,0,2.1107807519999997,hillside,shoulders,"('hillside', 'NN')","('shoulders', 'NNS')"
58,2800__stone_11__sermons_9,3,3,3,3,1,2.1107807519999997,stone,sermons,"('stone', 'NN')","('sermons', 'NNS')"
64,6644__plurality_22__decomposes_19,3,3,3,3,2,2.10008745,plurality,decomposes,"('plurality', 'NN')","('decomposes', 'NNS')"
67,6674__totality_17__incarnation_14,3,3,3,3,1,2.10008745,totality,incarnation,"('totality', 'NN')","('incarnation', 'NN')"
70,8242__necks_8__creamy_7,3,3,3,3,2,2.0972352969999997,necks,creamy,"('necks', 'NNS')","('creamy', 'NN')"
71,2800__sermons_9__stone_11,3,3,3,3,1,2.0972352969999997,sermons,stone,"('sermons', 'NNS')","('stone', 'NN')"
78,982__sun_20__lingers_21,3,3,3,2,2,2.0904704990000003,sun,lingers,"('sun', 'NN')","('lingers', 'NNS')"
88,1249__soupy_12__voice_2,3,3,3,3,0,2.086541995,soupy,voice,"('soupy', 'NNS')","('voice', 'NN')"
91,972__leafy_9__retreat_10,3,3,3,3,2,2.086541995,leafy,retreat,"('leafy', 'NN')","('retreat', 'NN')"
93,3583__skinhead_34__invaders_35,3,3,3,3,3,2.086541995,skinhead,invaders,"('skinhead', 'NN')","('invaders', 'NNS')"
99,1362__deviation_22__marks_20,3,3,3,3,2,2.086541995,deviation,marks,"('deviation', 'NN')","('marks', 'NNS')"
105,2744__blobs_10__sheets_14,3,3,3,3,2,2.086541995,blobs,sheets,"('blobs', 'NN')","('sheets', 'NNS')"
115,7085__print_39__gutter_38,3,3,3,3,2,2.086541995,print,gutter,"('print', 'NN')","('gutter', 'NN')"
119,5844__profusion_9__careless_8,3,3,3,3,1,2.086541995,profusion,careless,"('profusion', 'NN')","('careless', 'NN')"
126,2728__trees_31__battalions_29,3,3,3,3,3,2.086541995,trees,battalions,"('trees', 'NNS')","('battalions', 'NNS')"
132,6369__moratorium_7__stage_8,3,3,3,3,2,2.086541995,moratorium,stage,"('moratorium', 'NN')","('stage', 'NN')"
134,6650__negation_12__negation_9,3,3,3,3,2,2.086541995,negation,negation,"('negation', 'NN')","('negation', 'NN')"
136,155__receptivity_17__climate_15,3,3,3,3,2,2.086541995,receptivity,climate,"('receptivity', 'NN')","('climate', 'NN')"
145,7012__diehard_9__campaign_10,3,3,3,2,1,2.0607887959999998,diehard,campaign,"('diehard', 'NN')","('campaign', 'NN')"
146,7019__articulate_17__views_19,3,3,3,2,2,2.058399799,articulate,views,"('articulate', 'NN')","('views', 'NNS')"
154,705__cowboy_21__code_22,3,3,3,2,2,2.034161043,cowboy,code,"('cowboy', 'NN')","('code', 'NN')"
163,2770__trees_15__clumps_13,3,3,3,2,2,2.025967367,trees,clumps,"('trees', 'NNS')","('clumps', 'NNS')"
165,4607__stomach_3__somersault_6,3,3,3,3,0,2.023744142,stomach,somersault,"('stomach', 'NN')","('somersault', 'NN')"
168,2576__culpability_28__shades_26,3,3,3,2,2,2.015274065,culpability,shades,"('culpability', 'NN')","('shades', 'NNS')"
176,3630__hulks_35__litter_36,3,3,3,2,2,2.00172861,hulks,litter,"('hulks', 'NNS')","('litter', 'NN')"
179,2744__grey_9__blobs_10,3,3,3,2,2,2.00172861,grey,blobs,"('grey', 'NN')","('blobs', 'NN')"
189,2789__faade_28__skeleton_27,3,3,3,3,2,1.9997532630000001,faade,skeleton,"('faade', 'NN')","('skeleton', 'NN')"
195,4498__risk_10__mosaics_11,3,3,3,3,2,1.9997532630000001,risk,mosaics,"('risk', 'NN')","('mosaics', 'NNS')"
198,2794__nets_16__saucer_13,3,3,3,3,0,1.9997532630000001,nets,saucer,"('nets', 'NNS')","('saucer', 'NN')"
206,875__pottery_3__explodes_13,3,3,3,2,2,1.988922714,pottery,explodes,"('pottery', 'NN')","('explodes', 'NNS')"
215,2655__offence_24__ingredients_20,3,3,3,3,0,1.975377259,offence,ingredients,"('offence', 'NN')","('ingredients', 'NNS')"
216,7011__style_18__obstruction_21,3,3,3,3,3,1.975377259,style,obstruction,"('style', 'NN')","('obstruction', 'NN')"
222,977__elements_26__ragbag_24,3,3,3,3,2,1.975377259,elements,ragbag,"('elements', 'NNS')","('ragbag', 'NN')"
228,1869__consciousness_8__revolution_5,3,3,3,3,2,1.975377259,consciousness,revolution,"('consciousness', 'NN')","('revolution', 'NN')"
229,3069__spring_6__step_9,3,3,3,2,2,1.975377259,spring,step,"('spring', 'NN')","('step', 'NN')"
233,1341__runs_6__ribbon_4,3,3,3,2,1,1.9593006999999998,runs,ribbon,"('runs', 'NNS')","('ribbon', 'NN')"
234,6248__routines_2__chains_5,3,3,3,2,2,1.9591610430000002,routines,chains,"('routines', 'NNS')","('chains', 'NNS')"
237,5050__spy_8__port_9,3,3,3,2,1,1.933988635,spy,port,"('spy', 'NN')","('port', 'NN')"
242,195__races_19__umpire_17,3,3,3,3,1,1.923409955,races,umpire,"('races', 'NNS')","('umpire', 'NN')"
246,1858__resistance_3__Thrusts_1,3,3,3,3,0,1.923409955,resistance,Thrusts,"('resistance', 'NN')","('Thrusts', 'NNS')"
251,3643__drug_46__barons_47,3,3,3,2,2,1.9149398780000002,drug,barons,"('drug', 'NN')","('barons', 'NNS')"
254,1306__doubt_17__throws_16,3,3,3,2,1,1.9128272830000002,doubt,throws,"('doubt', 'NN')","('throws', 'NNS')"
262,586__waste_34__chain_35,3,3,3,2,1,1.906669074,waste,chain,"('waste', 'NN')","('chain', 'NN')"
263,3626__cities_10__tinderbox_9,3,3,3,2,1,1.906669074,cities,tinderbox,"('cities', 'NNS')","('tinderbox', 'NN')"
266,7244__soil_6__gulping_7,3,3,3,2,2,1.902133981,soil,gulping,"('soil', 'NN')","('gulping', 'NN')"
278,6307__adolescence_33__turbulence_31,3,3,3,3,2,1.8885885269999998,adolescence,turbulence,"('adolescence', 'NN')","('turbulence', 'NN')"
279,5846__night_14__sharpens_17,3,3,3,2,2,1.8885885269999998,night,sharpens,"('night', 'NN')","('sharpens', 'NNS')"
280,3711__family_10__dimensions_11,3,3,3,2,2,1.8885885269999998,family,dimensions,"('family', 'NN')","('dimensions', 'NNS')"
284,1843__rebellion_28__mechanism_25,3,3,3,3,2,1.8885885269999998,rebellion,mechanism,"('rebellion', 'NN')","('mechanism', 'NN')"
285,2787__snuffers_16__candle_15,3,3,3,3,3,1.8885885269999998,snuffers,candle,"('snuffers', 'NNS')","('candle', 'NN')"
295,6711__faithful_6__eyes_3,3,3,3,2,2,1.8885885269999998,faithful,eyes,"('faithful', 'NN')","('eyes', 'NNS')"
298,6731__vassalage_20__symbol_26,3,3,3,3,1,1.8885885269999998,vassalage,symbol,"('vassalage', 'NN')","('symbol', 'NN')"
302,5848__dawn_22__prospect_20,3,3,3,3,0,1.881676554,dawn,prospect,"('dawn', 'NN')","('prospect', 'NN')"
305,5648__child_21__dim_20,3,3,2,2,2,1.874258671,child,dim,"('child', 'NN')","('dim', 'NN')"
311,833__branches_46__hysterics_48,3,3,3,3,0,1.8631686969999999,branches,hysterics,"('branches', 'NNS')","('hysterics', 'NNS')"
315,124__history_15__footnote_13,3,3,3,2,1,1.8405504609999999,history,footnote,"('history', 'NN')","('footnote', 'NN')"
318,1347__consumerist_17__culture_18,3,3,3,2,1,1.830513413,consumerist,culture,"('consumerist', 'NN')","('culture', 'NN')"
